Values	total	status	pValue
Min.	103	smoker	0.662004662004662
1st Qu.	126.75	smoker	0.662004662004662
Median	153	smoker	0.662004662004662
Mean	275.375	smoker	0.662004662004662
3rd Qu.	348.75	smoker	0.662004662004662
Max.	832	smoker	0.662004662004662
Min.	2	non-smoker	0.662004662004662
1st Qu.	73.25	non-smoker	0.662004662004662
Median	133.5	non-smoker	0.662004662004662
Mean	309.833333333333	non-smoker	0.662004662004662
3rd Qu.	470.5	non-smoker	0.662004662004662
Max.	954	non-smoker	0.662004662004662
